age,gender,budget,noOfStays,timing,typeOfTravel,destination,activities,transport,planning,package,foodplace,attractions,accommodation,cancelPolicy
21,Female,2000,3,End of the year,Normal travel,Towns,Water activities,Personal Vehicle,Tour,Yes,Western/Steak house,Man-made Attractions,Hotels,Yes
21,Female,5000,4,Middle of the year,Backpacking,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Natural Attractions,Resorts,Yes
22,Female,800,4,End of the year,Normal travel,Islands,Leisure activities,Booking a flight,Self Explore,Yes,Western/Steak house,Cultural Attractions,Hotels,Yes
32,Female,1200,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
36,Female,1200,3,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
24,Male,500,3,End of the year,Backpacking,Towns,Leisure activities,Trains,Tour,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
20,Female,500,3,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Man-made Attractions,Hotels,Yes
25,Male,3000,3,Middle of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Tour,Yes,Hotel buffet,Natural Attractions,Resorts,Yes
69,Male,1,1,Middle of the year,Backpacking,Islands,Outdoor activities,Busses,Tour,Yes,Seafood Restaurants,Man-made Attractions,Resorts,No
21,Male,3000,14,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Chalets,Yes
21,Female,200,1,Middle of the year,Normal travel,Towns,Outdoor activities,Booking a flight,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
21,Female,3000,5,Early of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Hotel buffet,Man-made Attractions,Resorts,Yes
19,Female,5000,5,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Tour,Yes,Western/Steak house,Man-made Attractions,Hotels,Yes
24,Female,1500,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Hotels,Yes
26,Female,3000,5,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
19,Male,10000,12,Early of the year,Backpacking,Islands,Outdoor activities,Trains,Tour,Yes,Hotel buffet,Natural Attractions,Resorts,Yes
21,Male,10000,14,Middle of the year,Normal travel,Islands,Leisure activities,Booking a flight,Self Explore,Yes,Nasi padang/campur,Natural Attractions,Apartments,Yes
24,Male,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Western/Steak house,Cultural Attractions,Apartments,Yes
40,Female,2500,3,End of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Apartments,Yes
13,Male,4000,16,End of the year,Backpacking,Islands,Outdoor activities,Booking a flight,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Hotels,Yes
32,Female,1200,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
21,Female,6000,12,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,No,Western/Steak house,Cultural Attractions,Hotels,Yes
49,Female,1500,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Hotel buffet,Natural Attractions,Resorts,Yes
27,Male,1000,3,End of the year,Backpacking,Towns,Leisure activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Hotels,Yes
49,Female,1500,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Hotel buffet,Natural Attractions,Resorts,Yes
26,Female,2000,3,End of the year,Normal travel,Islands,Water activities,Booking a flight,Tour,Yes,Seafood Restaurants,Natural Attractions,Resorts,Yes
24,Male,1600,4,Early of the year,Backpacking,Towns,Outdoor activities,Trains,Self Explore,No,Nasi padang/campur,Natural Attractions,Apartments,Yes
21,Male,3000,4,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,Yes,Hotel buffet,Cultural Attractions,Apartments,Yes
39,Female,1500,4,Middle of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Hotels,Yes
36,Female,1200,3,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
21,Male,3000,4,End of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Tour,Yes,Nasi padang/campur,Man-made Attractions,Resorts,Yes
31,Male,800,4,Middle of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
22,Male,3000,4,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Resorts,Yes
27,Male,2500,10,End of the year,Backpacking,Islands,Outdoor activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Natural Attractions,Resorts,Yes
21,Female,2000,5,End of the year,Normal travel,Towns,Water activities,Booking a flight,Tour,Yes,Nasi padang/campur,Natural Attractions,Hotels,Yes
22,Female,1000,2,End of the year,Backpacking,Islands,Leisure activities,Busses,Self Explore,No,Nasi padang/campur,Natural Attractions,Hotels,Yes
24,Female,2000,4,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Cultural Attractions,Hotels,Yes
21,Female,2000,5,Early of the year,Normal travel,Islands,Leisure activities,Booking a flight,Tour,Yes,Seafood Restaurants,Natural Attractions,Hotels,Yes
40,Male,2000,3,End of the year,Backpacking,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Cultural Attractions,Resorts,Yes
19,Female,5000,5,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Tour,Yes,Western/Steak house,Man-made Attractions,Hotels,Yes
21,Male,10000,30,End of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
21,Male,400,4,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
32,Female,1200,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
25,Male,4500,7,End of the year,Backpacking,Towns,Leisure activities,Booking a flight,Tour,Yes,Hotel buffet,Man-made Attractions,Hotels,Yes
24,Female,1500,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Hotels,Yes
